datetime,score,level,badge,sleep_hours,study_hours,focus_level,screen_time
2026-04-10 22:48:12,12.09,Low 😟,Getting Started,8.0,4.0,5.0,6.8
2026-04-10 23:07:02,12.09,Low 😟,Getting Started,8.0,4.0,5.0,6.8
2026-04-15 17:18:16,39.91,Medium 🙂,Getting Started,5.0,10.0,5.0,5.0
2026-04-15 17:20:12,56.2,Medium 🙂,Consistent Learner,11.0,8.0,6.0,6.0
2026-04-15 17:21:28,44.9,Medium 🙂,Getting Started,2.0,10.0,2.0,2.0
2026-04-15 17:26:16,26.54,Low 😟,Getting Started,12.0,5.0,5.0,4.5
2026-04-15 17:55:00,45.3,Medium 🙂,Getting Started,2.0,6.0,5.0,7.0
2026-04-15 20:20:10,39.98,Medium 🙂,Getting Started,4.0,10.0,5.0,6.0
2026-04-15 20:21:07,14.33,Low 😟,Getting Started,11.0,2.0,6.0,9.0
2026-04-15 20:22:02,9.85,Low 😟,Getting Started,9.0,2.0,3.0,9.0
2026-04-15 20:57:16,14.33,Low 😟,Getting Started,11.0,2.0,6.0,9.0
2026-04-15 21:05:02,14.33,Low 😟,Getting Started,11.0,2.0,6.0,9.0
2026-05-02 19:26:48,58.12,Medium 🙂,Consistent Learner,7.0,5.0,8.0,3.0
2026-05-03 01:05:33,35.49,Medium 🙂,Getting Started,8.0,6.0,5.0,4.0
